name,scientific_name,genus_species_variety,genus_species_original,description,image_url,producttilelink_URL,light_level,amount_light,water_needs,bloom_time,bloom_seasons,type,Text3,Text4,soil_type,Text5,height_text,height_num,Height,Text6,Text7,Text8,width,temperature,humidity,Text9,care_instructions,common_issues,grow_zones,grow_zones_text,Text12,Text13
"Fountain Grass, Pearl Millet",Pennisetum Hameln,#VALUE!,"
      Pennisetum alopecuroides 'Hameln' 
    ",The coppery tan bottlebrush plumes are held amidst the finely textured rich green foliage. A showy grass from late summer into winter. Pennisetum Hameln is a dwarf variety that will be at home in any size border. Golden fall foliage provides lovely contrast.,https://www.bluestoneperennials.com/img/PEHA/300/PEHA_0_Pennisetum_Hameln.jpg.webp,https://www.bluestoneperennials.com/PEHA,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Fall,"summer,fall","Perennials,
 
 Grasses","
                
                  Perennials,
                
                  Grasses
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Medium,"18-24""","Medium 18-24"" (3' in flower)","
              Medium 18-24"" (3' in flower)
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","30""",,,"
              Plant 30"" apart
            ","They prefer good drainage with full sun or light shade and will even grow in rocky or sandy soil as long as it remains fairly moist. Can be divided in spring when needed. Cut back in early spring leaving 3-5"" of previous year's growth.",,"5,6,7,8,9",5-9,"
    They prefer good drainage with full sun or light shade and will even grow in rocky or sandy soil as long as it remains fairly moist. Can be divided in spring when needed. Cut back in early spring leaving 3-5"" of previous year's growth.
    ","
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
      "
Daylily,Hemerocallis Blazing Glory,#VALUE!,"
      Hemerocallis  'Blazing Glory' 
    ","Fiery golden-yellow, 6"" fragrant flowers flash sizzling red eyes and a matching picotee edge. Reblooms! From the Rainbow Rhythm® series, this Daylily ranked in the top 20 out of hundreds evaluated. The well-branched scapes and high bud count ensure a blazing display of mid-season color. Hemerocallis Blazing Glory, a tetraploid, is considered a premium Daylily selected as a highly performing plant with exceptional bloom performance, vibrantly colored flowers, complete winter hardiness in northern zones, and a vigorous habit.",https://www.bluestoneperennials.com/img/HBLGL/300/HBLGL-0-Hemerocallis-Blazing-Glory-wg.jpg.webp,https://www.bluestoneperennials.com/HBLGL,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Mid-Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Summer to Late Summer
            ","Normal, Clay, Acidic","
              
               Normal, Clay, Acidic
            ",Medium,"32""","Medium 32""","
              Medium 32"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ","18-24""",,,"
              Plant 18-24"" apart
            ","Tough, cold and drought tolerant, long-lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.",,"3,4,5,6,7,8,9",3-9,"
    Tough, cold and drought tolerant, long-lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Blue Fescue,Festuca Blue Whiskers,Festuca glauca 'Blue Whiskers',"
      Festuca glauca 'Blue Whiskers' 
      (PP29,200)
      
    ","A vigorous tuft of fine-textured, evergreen foliage shimmers with steel-blue, quill-like grassy blades. Airy yellow-green flower-like stalks rise within and above the symmetrical mound in early summer and age to buffy-tan seedheads. The foliage will remain dense right to the ground. Festuca Blue Whiskers with its dome-shaped habit is a stunning accent perennial or a great edger. A charming dwarf ornamental grass.",https://www.bluestoneperennials.com/img/FEBW/300/FEBW-0-Festuca-Blue-Whiskers-wg.jpg.webp,https://www.bluestoneperennials.com/FEBW,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Summer,summer,"Perennials,
 
 Grasses","
                
                  Perennials,
                
                  Grasses
                
              ","
              

            

              
            

              
            
                Early Summer to Mid-Summer
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Short,"10-12""","Short 10-12"" (18"" in flower)","
              Short 10-12"" (18"" in flower)
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ","24-28""",,,"
              Plant 24-28"" apart
            ","In spring, tease any dead blades of grass by hand combing through foliage. May be cut back in spring to 3-4"" if needed. To divide, simply dig up mound and cut in half. Division every 2-3 years will keep Blue Fescue at its best and prevent any center die-back.",,"4,5,6,7,8,9",4-9,"
    In spring, tease any dead blades of grass by hand combing through foliage. May be cut back in spring to 3-4"" if needed. To divide, simply dig up mound and cut in half. Division every 2-3 years will keep Blue Fescue at its best and prevent any center die-back.
    ","
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Evergreen
        
          
            
              
            
            For a Slope or Bank
          
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Edgers
          
          
            
              
            
            OK in Containers
          
      "
"Creeping Speedwell, Speedwell",Veronica Aspire™,Veronica 'Aspire™	',"
      Veronica  'Aspire™	' 
      (PP26,416 'TNVERA')
      
    ","This petite charmer with its upright, bushy habit turns up the volume with countless, long-blooming, deep rose-pink flower spikes. Full and enticing, enjoyable all summer! Very hardy –even worth a try in zone 3. Classic Veronica spikes add a vertical accent to the perennial border. Veronica Aspire is happy with any well-drained soil in full to part sun. Long-lasting and carefree.",https://www.bluestoneperennials.com/img/VEAS/300/VEAS_0_Veronica_Aspire_tn.jpg.webp,https://www.bluestoneperennials.com/VEAS,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Clay, Sandy","
              
               Normal, Clay, Sandy
            ",Short,"6-10""","Short 6-10""","
              Short 6-10"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Medium
            ","12""",,,"
              Plant 12"" apart
            ","Prefers evenly moist soil with good winter drainage. Can be divided every 3 years in spring or fall. To keep tidy plants, shear back by 1/2 after flowering. If not cut back in summer, prune down to basal growth in late autumn.",,"4,5,6,7,8",4-8,"
    Prefers evenly moist soil with good winter drainage. Can be divided every 3 years in spring or fall. To keep tidy plants, shear back by 1/2 after flowering. If not cut back in summer, prune down to basal growth in late autumn.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Large-Flowered Clematis,Clematis Crystal Fountain™,Clematis 'Crystal Fountain™',"
      Clematis  'Crystal Fountain™' 
      (PP18,223)
      
    ","Fountain-like centers on huge 4-5"" semi-double lilac-blue flowers. Crystal Fountain is compact enough for containers (with support). Blooms June through September. Modest in height, this is a perfect choice for a garden with limited space. Can sprawl along the ground too! Gracefully meandering over fences, trellises, or through shrubbery, Clematis supply vertical interest. Every perennial garden should have at least one of these incredible vines.",https://www.bluestoneperennials.com/img/CLCF/300/CLCF_0_Clematis_Crystal_Fountain.jpg.webp,https://www.bluestoneperennials.com/CLCF,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Early Fall,"summer,fall","Perennials,
 
 Vines","
                
                  Perennials,
                
                  Vines
                
              ","
              

            

              
            

              
            

              
            

              
            
                Early Summer to Early Fall
            ",Normal,"
              
               Normal
            ",Tall,5-7',Tall 5-7',"
              Tall 5-7' 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Medium
            ",4',,,"
              Plant 4' apart
            ","Pruning Type 2. Clematis have some personality quirks that it helps to address. They are one of the few plants that like to be planted deeper. Pick a full sun site and have your trellis in place. Have a deep hole dug – 8-10"" – with some compost in the bottom. Gently place the pot (minus the wrapper) into the hole so that the first set of leaf nodes (the bud where the leaf sprouts from) is below ground. Remove any leaves that will be under the soil. Fill the hole halfway and tie the top growth to your trellis (leave the stick it shipped with in place for now) and water. Finish filling the hole with good soil, and water well. Your Clematis will appreciate a low growing plant at its feet to shade its roots. Pruning Type 2 - In this group all first flowering comes from last season's ripening stems. In early Spring watch for swelling leaf buds beginning to show. Cut all dead material off above these swelling buds. Be sure all growth is tied to the trellis, etc. at this time. Do not tie too tightly, so growth will not be hampered or cracked. If intertwining Clematis, pruning will be easier if you select varieties with the same pruning type. Want to sort by pruning type? In the main search box, type Type 1, Type 2 or Type 3 to group them together.",,"4,5,6,7,8,9,10",4-10,"
    Pruning Type 2. Clematis have some personality quirks that it helps to address. They are one of the few plants that like to be planted deeper. Pick a full sun site and have your trellis in place. Have a deep hole dug – 8-10"" – with some compost in the bottom. Gently place the pot (minus the wrapper) into the hole so that the first set of leaf nodes (the bud where the leaf sprouts from) is below ground. Remove any leaves that will be under the soil. Fill the hole halfway and tie the top growth to your trellis (leave the stick it shipped with in place for now) and water. Finish filling the hole with good soil, and water well. Your Clematis will appreciate a low growing plant at its feet to shade its roots. Pruning Type 2 - In this group all first flowering comes from last season's ripening stems. In early Spring watch for swelling leaf buds beginning to show. Cut all dead material off above these swelling buds. Be sure all growth is tied to the trellis, etc. at this time. Do not tie too tightly, so growth will not be hampered or cracked. If intertwining Clematis, pruning will be easier if you select varieties with the same pruning type. Want to sort by pruning type? In the main search box, type Type 1, Type 2 or Type 3 to group them together.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            OK in Containers
          
      "
"Butter Daisy, Tickseed",Coreopsis Early Sunrise,#VALUE!,"
      Coreopsis grandiflora 'Early Sunrise' 
    ","Winner of Gold medals in America and Europe. Superb in the border and heat tolerant. Golden yellow, semi-double flowers on 20"" stems. Long-blooming from early summer into fall. Coreopsis are easy-to-grow, neat, compact plants. Prolific, sunny yellow blooms are sure to catch your eye as you stroll through the garden. All-American Selections Award Winner 1989.",https://www.bluestoneperennials.com/img/COES/300/COES_0_Coreopsis_Early_Sunrise.jpg.webp,https://www.bluestoneperennials.com/COES,Full Sun,Full Sun,,Early Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ","Normal, Sandy","
              
               Normal, Sandy
            ",Medium,"20""","Medium 20""","
              Medium 20"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ","18""",,,"
              Plant 18"" apart
            ","Of the easiest care, even okay in a hot dry spot. Deadheading (removing spent blossoms) can extend blooming, so pick a few for cut flowers while you are in the garden. Leave new fall growth at the base for overwintering. Benefits from division every 2-3 years in spring, if desired.",,"4,5,6,7,8,9",4-9,"
    Of the easiest care, even okay in a hot dry spot.  Deadheading (removing spent blossoms) can extend blooming, so pick a few for cut flowers while you are in the garden. Leave new fall growth at the base for overwintering. Benefits from division every 2-3 years in spring, if desired.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
      "
Daylily,Hemerocallis Kansas Kitten,#VALUE!,"
      Hemerocallis  'Kansas Kitten' 
    ","Ruffled, lavender-purple, 5” fragrant flowers sport a deep indigo-blue eye zone surrounding a lime-green throat. Each day, new buds burst open early in the morning. Not at all finicky, this easy-care award winner is a super showy rebloomer. A diploid, Hemerocallis Kansas Kitten, like all Daylilies, is a tough, adaptable plant great for novice to experienced gardeners. Our varieties are selected for their abundance of blossoms, vibrant colors, and hardiness in a variety of climates and soils.",https://www.bluestoneperennials.com/img/HEKK/300/HEKK-0-Hemerocallis-Kansas-Kitten-wg.jpg.webp,https://www.bluestoneperennials.com/HEKK,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Mid-Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Summer to Late Summer
            ","Normal, Clay, Acidic","
              
               Normal, Clay, Acidic
            ",Medium,"22""","Medium 22""","
              Medium 22"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ","18-24""",,,"
              Plant 18-24"" apart
            ","Tough, cold and drought tolerant, long-lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.",,"3,4,5,6,7,8,9",3-9,"
    Tough, cold and drought tolerant, long-lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Coneflower,Echinacea Sombrero® Adobe Orange,Echinacea 'Sombrero® Adobe Orange',"
      Echinacea  'Sombrero® Adobe Orange' 
      (PP26,639)
      
    ","Toasty orange flowers with orange-bronzed cones don the warm hues of the western desert at sunset. Newly emerging flowers are vibrant orange. Prolific early flowering on strong stems; they complement yellow, blue and purple flowers. Long blooming! Echinacea Adobe Orange from the Sombrero® Series is valued for its super bloom power and well-branched, compact habit. Rated highly for pollinator visits in the Mt. Cuba Coneflower trials 2018-2019.",https://www.bluestoneperennials.com/img/ECAO/300/ECAO-0-Echinacea-Sombrero-Adobe-Orange-sk.jpg.webp,https://www.bluestoneperennials.com/ECAO,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Early Summer to Late Summer
            ","Normal, Clay","
              
               Normal, Clay
            ",Medium,"18-20""","Medium 18-20""","
              Medium 18-20"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","24""",,,"
              Plant 24"" apart
            ","Easy to grow, prolific bloomer. Deadheading will prevent seeding, but birds are crazy about the seeds, and the seedheads are attractive in the winter, especially in the snow. If removing them, leave the foliage at the base of the plant to overwinter. May be slow to emerge in the spring. These generally don't need to be divided, but can be divided in early spring or early fall.",,"4,5,6,7,8,9",4-9,"
    Easy to grow, prolific bloomer. Deadheading will prevent seeding, but birds are crazy about the seeds, and the seedheads are attractive in the winter, especially in the snow. If removing them, leave the foliage at the base of the plant to overwinter. May be slow to emerge in the spring. These generally don't need to be divided, but can be divided in early spring or early fall.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Winter Interest
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
      "
"Hyssop, Hummingbird Mint",Agastache Purple Haze,#VALUE!,"
      Agastache  'Purple Haze' 
    ","Strong spikes of smoky lavender blue envelop the foliage from summer to fall. Aromatic Anise scented leaves are blue green. Spikes of Agastache Purple haze are longer and more numerous than Honey Bee Blue, and more open along the stem. One of the easiest and most gratifying perennials to grow. Attractive to hummingbirds, butterflies and all pollinators. Goldfinches love the seed.",https://www.bluestoneperennials.com/img/AGPH/300/AGPH_2_Agastache_Purple_Haze_DSC00960.jpg.webp,https://www.bluestoneperennials.com/AGPH,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ",Normal,"
              
               Normal
            ",Medium,3',Medium 3',"
              Medium 3' 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","20""",,,"
              Plant 20"" apart
            ","Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.",,"6,7,8,9",6-9,"
    Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
      "
,Hemerocallis Soft Colors Collection 2,#VALUE!,"
      Hemerocallis  'Soft Colors Collection 2' 
    ","Daylily Collection in soft colors, all labeled . A great way to experience these wonderful garden plants. One each of On and On (top), Blazing Glory (bottom left) and Stella D'Oro (bottom right).

Hemerocallis are selected for their abundance of blossoms, vibrant colors, and hardiness in a variety of climates and soils.",https://www.bluestoneperennials.com/img/HEMXS2/300/HEMXS2-0-Hemerocallis-Soft-Colors-Collection-S25.jpg.webp,https://www.bluestoneperennials.com/HEMXS2,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Early Summer to Mid-Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            

              
            

              
            
                Early Summer to Mid-Fall
            ","Normal, Clay, Acidic","
              
               Normal, Clay, Acidic
            ",Medium,"14-32""","Medium 14-32""","
              Medium 14-32"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","

              Low
            ","18-24""",,,"
              Plant 18-24"" apart
            ","Tough, cold and drought tolerant, long lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.",,"3,4,5,6,7,8,9",3-9,"
    Tough, cold and drought tolerant, long lived plants. Can be divided most any time of year. Division usually needed every 3-4 years for best performance.
    ","
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            Seaside/Salt Tolerant
          
      "
Garden Phlox,Phlox Coral Creme Drop™,Phlox paniculata 'Coral Creme Drop™',"
      Phlox paniculata 'Coral Creme Drop™' 
      (PP20,907)
      
    ","Rosy, coral-toned, deliciously-scented flowers with a vibrant pink eye against deep green foliage. Long blooming with superb mildew resistance! From the Candy Store™ Series, the compact and branched habit exhibits large conical-shaped fragrant flowers for months. Garden Phlox, known as the backbone of the perennial border, provide a much-needed shot of color when many perennials are on their summer siesta.",https://www.bluestoneperennials.com/img/PHCC/300/PHCC_0_Phlox_pan_Coral_Creme_Drop_ag.jpg.webp,https://www.bluestoneperennials.com/PHCC,Full Sun,Full Sun,,Mid-Summer to Early Fall,"summer,fall",Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            

              
            
                Mid-Summer to Early Fall
            ","Normal, Sandy, Clay","
              
               Normal, Sandy, Clay
            ",Medium,"18-24""","Medium 18-24""","
              Medium 18-24"" 
            ","
              
            

              
            
            Full Sun
            ","

              Medium
            ","18""",,,"
              Plant 18"" apart
            ","Prefers moist, humus-rich soil. Phlox can be divided every 3-5 years in spring or fall. In spring, just as new growth appears, dig up the plant and divide clump with a sharp knife or spade into at least 2 or 3 shoots and a portion of the root system. Plants divided in fall should be mulched with a 4-6” layer of straw or pine needles to prevent heaving. Remove mulch in early spring. Cut back by 1/2 in late spring/early summer to encourage more compact plants. Shear off spent blooms just above foliage. To help avoid the possibility of mildew; provide plants with good air circulation (in spring, snip out all but 4-6 stems in a mature clump), avoid drought-like conditions, site plants where they will get sufficient light of eight hours or more each day. Should a spray program become necessary, products exist on the market for prevention and control. Removing mature blooms will prevent seeding, if not desired. Clean up spent foliage in spring.",,"4,5,6,7,8",4-8,"
    Prefers moist, humus-rich soil. Phlox can be divided every 3-5 years in spring or fall. In spring, just as new growth appears, dig up the plant and divide clump with a sharp knife or spade into at least 2 or 3 shoots and a portion of the root system. Plants divided in fall should be mulched with a 4-6” layer of straw or pine needles to prevent heaving. Remove mulch in early spring. Cut back by 1/2 in late spring/early summer to encourage more compact plants. Shear off spent blooms just above foliage. To help avoid the possibility of mildew; provide plants with good air circulation (in spring, snip out all but 4-6 stems in a mature clump), avoid drought-like conditions, site plants where they will get sufficient light of eight hours or more each day. Should a spray program become necessary, products exist on the market for prevention and control. Removing mature blooms will prevent seeding, if not desired. Clean up spent foliage in spring.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Good for Cut Flowers
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
      "
"Funkia, Plantain Lily",Hosta Voices in the Wind,Hosta 'Voices in the Wind',"
      Hosta  'Voices in the Wind' 
      (PP33,265)
      
    ","Delightfully ruffled cream-colored margins extend from the tip of each blue-green leaf to the crown. Lavender flowers in midsummer. The large leaves of this beauty provide excellent coverage for declining bulb foliage. Hosta thrive in shade, even in competition with tree roots, hurray!  From the Shadowland® Collection, Hosta Voices in the Wind is considered a ‘Premium’ Hosta selected for its superb performance in zones 4-7, exemplary garden presence, a long season of appeal in the landscape, leaves of good substance, and greater resistance to common garden pests.",https://www.bluestoneperennials.com/img/HOVW/300/HOVW-0-Hosta-Voices-in-the-Wind3-wg.jpg.webp,https://www.bluestoneperennials.com/HOVW,"Mostly Sun, Half Sun / Half Shade, Mostly Shade",Mostly Sunny to Mostly Shady,,Mid-Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Summer to Late Summer
            ","Normal, Acidic","
              
               Normal, Acidic
            ",Short,"17""","Short 17"" (24"" in flower)","
              Short 17"" (24"" in flower)
            ","
              
            

              
            

              
            

              
            
            Mostly Sunny to Mostly Shady
            ","

              Low
            ","46""",,,"
              Plant 46"" apart
            ",Hosta are generally carefree. Remove the spent flower stalks if seeding is not wanted. (Not all varieties will seed.) Be aware that seedlings are rarely true to the parent plant. Unwanted or damaged leaves can be clipped off at the base at any time. The entire plant will die back for the winter and spent foliage can usually be raked or clipped off easily in late fall or early spring. Can be divided in spring or fall every 3-5 years if desired.,,"3,4,5,6,7,8,9",3-9,"
    Hosta are generally carefree. Remove the spent flower stalks if seeding is not wanted. (Not all varieties will seed.) Be aware that seedlings are rarely true to the parent plant. Unwanted or damaged leaves can be clipped off at the base at any time. The entire plant will die back for the winter and spent foliage can usually be raked or clipped off easily in late fall or early spring. Can be divided in spring or fall every 3-5 years if desired.
    ","
        
          
            
          
          Attracts Hummingbirds
        
          
            
              
            
            Dry Shade Tolerant
          
          
            
              
            
            Humidity Tolerant
          
          
            
              
            
            OK in Containers
          
          
            
              
            
            Shade Tolerant
          
      "
"Hyssop, Hummingbird Mint",Agastache Guava Lava,Agastache 'Guava Lava',"
      Agastache  'Guava Lava' 
      (PP36,001)
      
    ","Lush coral-orange flowers parade their blossoms for weeks during the heat of summer in a sun-loving garden. The mauve pink calyxes cradle the blossoms and remain attractive even after the flowers have completed their show. Easy to grow, Agastache Guava Lava is drought tolerant once established – great for xeric gardening.",https://www.bluestoneperennials.com/img/AGGL/300/AGGL-0-Agastache-Guava-Lava-wg.jpg.webp,https://www.bluestoneperennials.com/AGGL,"Full Sun, Mostly Sun",Full Sun to Mostly Sunny,,Mid-Summer to Late Summer,summer,Perennials,"
                
                  Perennials
                
              ","
              

            

              
            

              
            
                Mid-Summer to Late Summer
            ",Normal,"
              
               Normal
            ",Medium,"20-22""","Medium 20-22""","
              Medium 20-22"" 
            ","
              
            

              
            

              
            
            Full Sun to Mostly Sunny
            ","
              Plantable Pots (3.5x3.5x4"")
            ","22-26""",,,"
              Plant 22-26"" apart
            ","Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.",,"5,6,7,8,9",5-9,"
    Good drainage is a must! Agastache thrive in full sun and rarely need divided. Most will self sow to spread, so deadhead by removing faded flowers to prevent seeding. Leave stems to overwinter; tip or remove new growth in early to mid spring for more flowering stems and a more compact plant. To promote strong stems, avoid too much water once established and fertilize only once every year or two in late fall to late winter.
    ","
        
          
            
          
          Beneficial for Pollinators
        
        
          
            
          
          Attracts Butterflies
        
        
          
            
          
          Deer Resistant
        
        
          
            
          
          Fragrant
        
        
          
            
          
          Attracts Hummingbirds
        
        
          
            
          
          Long-Blooming
        
        
          
            
          
          Rabbit Resistant
        
          
            
              
            
            Hot Dry Site Tolerant
          
          
            
              
            
            OK in Containers
          
      "
